export_date,device_name,device_id,time,ts_ms,key,name,unit,value
2026-08-10,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-10 00:00:16,1786291216947,RSSI,信号强度,dBm,21
2026-08-10,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-10 00:00:16,1786291216947,pow,电源,V,12.2
2026-08-10,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-10 00:00:16,1786291216947,windDirection,风向,°,21
2026-08-10,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-10 00:00:16,1786291216947,windSpeed,风速,m/s,4.91
2026-08-10,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:28,1786291228172,RSSI,信号强度,dBm,22
2026-08-10,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:28,1786291228172,pow,电源,V,12.5
2026-08-10,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:28,1786291228172,windDirection,风向,°,92
2026-08-10,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:28,1786291228172,windSpeed,风速,m/s,1.76
2026-08-10,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:37,1786291237084,RSSI,信号强度,dBm,22
2026-08-10,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:37,1786291237084,pow,电源,V,12.7
2026-08-10,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:37,1786291237084,windDirection,风向,°,92
2026-08-10,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:37,1786291237084,windSpeed,风速,m/s,0.36
2026-08-10,26052705XJX-X3,a77e5ce0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:44,1786291244446,RSSI,信号强度,dBm,22
2026-08-10,26052705XJX-X3,a77e5ce0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-10 00:00:44,1786291244446,pow,电源,V,12.5
