export_date,device_name,device_id,time,ts_ms,key,name,unit,value
2026-08-08,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-08 16:46:38,1786178798602,RSSI,信号强度,dBm,99
2026-08-08,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-08 16:46:38,1786178798602,pow,电源,V,12.6
2026-08-08,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-08 16:46:38,1786178798602,windDirection,风向,°,327
2026-08-08,25122225XJX-X4,f24af520-df03-11f0-bc6b-659b520a6f87,2026-08-08 16:46:38,1786178798602,windSpeed,风速,m/s,0.43
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:05:18,1786201518046,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:05:18,1786201518046,pow,电源,V,12.8
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:05:18,1786201518046,windDirection,风向,°,326
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:05:18,1786201518046,windSpeed,风速,m/s,0.61
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:06:11,1786201571764,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:06:11,1786201571764,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:06:11,1786201571764,windDirection,风向,°,16
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:06:11,1786201571764,windSpeed,风速,m/s,0.57
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:07:12,1786201632395,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:07:12,1786201632395,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:07:12,1786201632395,windDirection,风向,°,298
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:07:12,1786201632395,windSpeed,风速,m/s,0.94
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:08:13,1786201693043,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:08:13,1786201693043,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:08:13,1786201693043,windDirection,风向,°,6
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:08:13,1786201693043,windSpeed,风速,m/s,0.59
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:09:13,1786201753696,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:09:13,1786201753696,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:09:13,1786201753696,windDirection,风向,°,292
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:09:13,1786201753696,windSpeed,风速,m/s,1.46
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:10:14,1786201814336,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:10:14,1786201814336,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:10:14,1786201814336,windDirection,风向,°,269
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:10:14,1786201814336,windSpeed,风速,m/s,0.29
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:11:14,1786201874974,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:11:14,1786201874974,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:11:14,1786201874974,windDirection,风向,°,324
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:11:14,1786201874974,windSpeed,风速,m/s,2.29
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:12:15,1786201935609,RSSI,信号强度,dBm,23
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:12:15,1786201935609,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:12:15,1786201935609,windDirection,风向,°,349
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:12:15,1786201935609,windSpeed,风速,m/s,0.55
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:13:16,1786201996244,RSSI,信号强度,dBm,22
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:13:16,1786201996244,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:13:16,1786201996244,windDirection,风向,°,298
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:13:16,1786201996244,windSpeed,风速,m/s,0.82
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:14:16,1786202056877,RSSI,信号强度,dBm,22
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:14:16,1786202056877,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:14:16,1786202056877,windDirection,风向,°,151
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:14:16,1786202056877,windSpeed,风速,m/s,1.26
2026-08-08,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:00,1786202100512,RSSI,信号强度,dBm,31
2026-08-08,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:00,1786202100512,pow,电源,V,13.2
2026-08-08,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:00,1786202100512,windDirection,风向,°,168
2026-08-08,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:00,1786202100512,windSpeed,风速,m/s,0.11
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:17,1786202117539,RSSI,信号强度,dBm,22
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:17,1786202117539,pow,电源,V,12.9
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:17,1786202117539,windDirection,风向,°,280
2026-08-08,26052705XJX-X1,9af04060-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:17,1786202117539,windSpeed,风速,m/s,0.1
2026-08-08,26052705XJX-X2,a26dabc0-5978-11f1-88cc-6b1fa4acfb7b,2026-08-08 23:15:57,1786202157368,RSSI,信号强度,dBm,31
